lemma	variant	isabstract	lexicalunit.comment like '%<##s>%'
druk ulotny	1	0	0
urządzenie akustyczne	1	0	1
rakieta tenisowa	1	0	0
instrument perkusyjny	1	0	0
pantofel domowy	1	0	0
urządzenie elektroniczne	1	0	1
naczynie stołowe	1	0	0
magnetofon kasetowy	1	0	0
kolejka linowa	1	0	0
urządzenie mechaniczne	1	0	0
urządzenie pomiarowe	1	1	0
ogniwo elektryczne	1	0	0
źródło energii	1	0	1
źródło ciepła	1	0	1
broń obuchowa	1	0	0
bielizna pościelowa	1	0	0
środek antykoncepcyjny	1	0	0
urządzenie elektryczne	1	0	1
statek kosmiczny	1	0	0
sygnalizacja alarmowa	1	0	0
mapa sztabowa	1	0	0
środek lokomocji	1	0	0
środek transportu	1	0	0
silnik spalinowy	1	0	0
kosmetyk zapachowy	1	0	0
lampa jarzeniowa	1	0	0
namiot cyrkowy	1	0	0
dom letni	1	0	1
dom na działce	1	0	1
miejsce pracy	1	0	0
living room	1	0	0
stacja kolejowa	1	0	0
dom letniskowy	1	0	0
łańcuch górski	1	0	0
pasmo górskie	1	0	0
wielkie miasto	1	0	1
budynek gospodarczy	1	0	0
wyciąg orczykowy	1	0	1
obiekt wojskowy	1	0	1
lewa strona	1	0	0
salon samochodowy	1	0	0
teatr lalkowy	2	0	0
sztab szkoleniowy	1	0	0
pole bramkowe	1	0	0
pole karne	1	0	0
zjawisko fizjologiczne	1	0	0
rukiew drobnolistna	1	0	0
pojazd niemechaniczny	1	0	0
ruch drgający	1	0	0
wiatr zachodni	1	0	0
wiatr wschodni	1	0	0
wiatr północny	1	0	0
trzęsienie ziemi	1	0	0
konik polny	1	0	0
ogień krzyżowy	1	0	0
stan surowy	1	0	0
public relations	1	0	0
wizerunek publiczny	1	0	0
panna młoda	1	0	0
pan młody	1	0	0
rzut wolny	1	0	0
rzut rożny	1	0	0
sąd koleżeński	1	0	0
okręg wyborczy	1	0	0
ognisko domowe	1	0	0
teatr lalek	1	0	0
teatr lalkowy	1	0	0
rzut karny	1	0	0
analiza wrażliwości	1	0	1
budowa ciała	2	0	0
duża suma	1	0	0
egipskie ciemności	1	0	0
figura płaska	1	0	0
film pornograficzny	1	0	0
pion królewski	1	0	1
grupa etniczna	1	0	0
konik morski	1	0	0
linia boczna	1	0	0
brona talerzowa	1	0	0
miejsce docelowe	1	0	1
miejsce pochówku	1	0	0
déjà vu	1	0	0
prawo rzeczowe	1	0	0
radca handlowy	2	0	0
stępka przechyłowa	1	0	0
ropa naftowa	1	0	0
lista rankingowa	1	0	0
kolor włosów	1	0	0
nazwa utworu muzycznego związana z jego tempem	1	1	0
ręczne sterowanie	1	0	0
trzecia planeta od Słońca	1	0	1
choroba Naxos	1	0	0
glina zwietrzelinowa	1	0	0
lista wyborcza	1	0	0
figura stylistyczna	1	0	0
beton konstrukcyjny	1	0	0
zobowiązanie finansowe	1	0	0
spółgłoska zwarto-wybuchowa	1	0	0
oberwanie chmury	2	0	0
fałszywe oskarżenie	1	0	0
twardy dysk	2	0	0
Republika Irlandii	1	0	0
klisza fotograficzna	1	0	1
akt płciowy	1	0	0
brak wolności	1	0	0
człowiek rozumny	1	0	0
dobro własne	1	0	0
godność osobista	1	0	0
pojazd niekołowy	1	0	0
pojazd niemechaniczny	2	0	0
pojazd mechaniczny niekołowy	1	1	0
język naturalny	1	0	0
przestrzeń pozaziemska	1	0	0
krzywa płaska	1	0	0
służba zdrowia	1	0	0
proces biologiczny	1	0	0
niedźwiedź brunatny	1	0	0
czysta aleksja	1	0	0
powłocznica popielata	1	0	0
ciało niebieskie	1	0	0
sygnał dźwiękowy	1	0	0
rower jednokołowy	1	0	0
lampa gazowa	1	0	1
zły uczynek	1	0	0
kolor oczu	1	0	0
człowiek charakteryzowany ze względu na cechy osobowości	1	1	0
sopran spinto	1	0	0
związek taktyczny	1	0	0
związek przyczynowy	1	0	0
roślina egzotyczna	1	0	0
produkt spożywczy	1	1	0
burak cukrowy	1	0	0
tłuszcz spożywczy	1	0	0
miód pitny	1	0	0
orzech włoski	1	0	0
roślina ozdobna	1	0	0
gruczoł zapachowy	1	0	0
kompozycja roślinna	1	0	0
różanecznik kaukaski	1	0	0
szuwar jeżogłówki gałęzistej	1	0	1
roślina wodna	1	0	0
człowiek ze względu na pochodzenie etniczne	1	1	0
anioł stróż	1	0	0
człowiek nazywany ze względu na przekonania religijne	1	1	0
statek kołowy	1	0	0
brat cioteczny	1	0	0
istota fantastyczna	1	0	0
człowiek charakteryzowany ze względu na miejsce pobytu	1	1	0
ojciec chrzestny	1	0	0
pies policyjny	1	0	0
krokodyl nilowy	1	0	0
wolny strzelec	1	0	0
wolny strzelec	2	0	0
dzień dobry	1	0	0
pomieszczenie, w którym żyją zwierzęta	1	1	0
drut kolczasty	1	0	0
kilometr kwadratowy	1	0	0
kort tenisowy	1	0	1
mur oporowy	1	0	0
rów melioracyjny	1	0	0
szlak handlowy	1	0	0
układ planetarny	1	0	0
zbiornik retencyjny	1	0	0
areszt śledczy	1	0	0
sport zimowy	1	0	0
dom poprawczy	1	0	0
dzień świąteczny	1	0	0
dzień powszedni	1	0	0
funt szterling	1	0	0
hetman wielki	1	0	0
język francuski	1	0	0
święta księga	1	0	0
krąg kamienny	1	0	0
mundur polowy	1	0	0
pęcherz moczowy	1	0	0
plan strategiczny	1	0	0
play off	1	0	0
choroba przewlekła	1	0	0
ruch ciągły	1	0	0
rząd koalicyjny	1	0	1
rząd mniejszościowy	1	0	1
sąd grodzki	2	0	0
sąd grodzki	1	0	0
stosunek płciowy	1	0	0
urlop macierzyński	1	0	0
wzrost gospodarczy	1	0	1
twór chorobowy	1	0	0
część mowy	1	0	0
