DB ID	Is abstract?	Part of Speech	Lemma
9500	False	verb	urzeczywistniać się
9501	False	verb	urzeczywistnić się
9504	False	subst	urzędnik wysokiego szczebla
9510	False	verb	usadowić się
9518	False	verb	uskarżać się
9519	False	verb	uśmiechać się
9521	False	verb	uśmiechnąć się
9543	False	subst	ustawa zasadnicza
9559	False	verb	ustosunkować się
9563	False	verb	ustrzec się
9591	False	verb	utrzymać się
9592	False	verb	utrzymać się
9597	False	verb	utrzymywać się
9603	False	verb	utworzyć się
9611	False	verb	uwidocznić się
9617	False	verb	uwijać się
9624	False	verb	uzależnić się
9678	False	verb	ułożyć się
9695	False	verb	wahać się
9713	False	subst	warga dolna
9760	False	verb	wchodzić w słowo
9769	False	verb	wdrapać się
9782	False	verb	wejść w słowo
9796	False	verb	weselić się
9803	False	verb	wesprzeć się
9831	False	verb	wić się
9877	False	subst	wieki średnie
9897	False	verb	wiercić się
9938	False	verb	wisieć nad głową
9949	False	verb	wkomponowywać się
9995	False	subst	wolna ręka
10022	False	verb	wpaść na pomysł
10029	False	verb	wprowadzać się
10051	False	verb	wrócić na tarczy
10068	False	verb	wściekać się
10083	False	verb	wspiąć się
10086	False	verb	wspierać się
10088	False	verb	wspinać się
10089	False	verb	wspinać się
10120	False	verb	wstawić się
10134	False	verb	wstrzymać się
10140	False	verb	wstydzić się
10150	False	verb	wsłuchiwać się
10156	False	verb	wtrącać się
10157	False	verb	wtrącić się
10158	False	verb	wtrącić swoje trzy grosze
10169	False	verb	wybić się
10176	False	adj	wybijający się
10192	False	adj	dobrze wychowany
10202	False	verb	wyciągać konsekwencje
10203	False	verb	wyciągać rękę
10205	False	verb	wyciągnąć konsekwencje
10206	False	verb	wyciągnąć rękę
10212	False	verb	wycofać się
10213	False	verb	wycofać się
10215	False	verb	wycofywać się
10221	False	verb	wyczerpać się
10230	False	verb	wydać się
10237	False	subst	wydanie na świat
10242	False	verb	wydarzyć się
10250	False	verb	wydobyć z niepamięci
10251	False	verb	wydobyć z zapomnienia
10253	False	verb	wydobywać z niepamięci
10254	False	verb	wydobywać z zapomnienia
10255	False	verb	wydostać się
10257	False	verb	wydrzeć się
10261	False	verb	wydzierać się
10265	False	verb	wyedukować się
10267	False	verb	wygadać się
10335	False	verb	wykręcić się
10346	False	verb	wykształcić się
10347	False	verb	wykształcić się
10358	False	verb	wylatywać z głowy
10360	False	verb	wylecieć z głowy
10361	False	verb	wylegitymować się
10362	False	verb	wylewać łzy
10382	False	verb	wymierzyć sprawiedliwość
10405	False	subst	wynik badania
10414	False	verb	wynosić się
