DB ID	Is abstract?	Part of Speech	Lemma
34217	False	subst	krokodyl nilowy
34232	False	subst	czasownik posiłkowy
34235	False	subst	czas fizyczny
34236	False	subst	czas geologiczny
34237	False	subst	czas gwiazdowy
34243	False	subst	czas słoneczny
34244	False	subst	czas strefowy
34245	False	subst	czas miejscowy
34249	False	subst	czas zaprzeszły
34251	False	subst	jądro atomowe
34257	False	subst	elektron dodatni
34264	False	subst	czworościan foremny
34266	False	subst	wspólny czynnik
34269	False	subst	wyrażenie algebraiczne
34275	False	subst	dach czterospadowy
34281	False	subst	dalmierz laserowy
34283	False	subst	darwinizm społeczny
34285	False	subst	teoria ewolucji
34288	False	subst	dąb czerwony
34289	False	subst	depozyt sądowy
34290	False	subst	żywy kamień
34293	False	subst	toczeń rumieniowaty
34295	False	subst	tłumacz kabinowy
34296	False	subst	tłuk pięściowy
34297	False	subst	tlenek kwasowy
34298	False	subst	bezwodnik kwasowy
34300	False	subst	testament ustny
34303	False	subst	tenor liryczny
34305	False	subst	tenor dramatyczny
34308	False	subst	tenor bohaterski
34311	False	subst	temat podstawowy
34315	False	subst	telegraf maszynowy
34327	False	subst	tantniś krzyżowiaczek
34328	False	subst	taniec charakterystyczny
34334	False	subst	podział metryczny
34336	False	subst	takt trójdzielny
34337	False	subst	świerk srebrzysty
34354	False	subst	ślepy pułap
34355	False	subst	ślepy kosztorys
34357	False	subst	ślad torowy
34358	False	subst	ślad pamięciowy
34367	False	subst	szyk przestawny
34372	False	subst	sztuczny księżyc
34375	False	subst	szpat islandzki
34377	False	subst	sznur pępkowy
34381	False	subst	sznaucer olbrzym
34382	False	subst	szlif wypukły
34383	False	subst	szlif kaboszonowy
34385	False	subst	koral szlachetny
34386	False	subst	seter szkocki
34387	False	subst	gordon seter
34390	False	subst	sześciokąt foremny
34392	False	subst	szereg homologiczny
34394	False	subst	szereg harmoniczny
34395	False	subst	szereg geometryczny
34397	False	subst	szczwół plamisty
34398	False	subst	szczur piżmowy
34400	False	subst	narząd szczątkowy
34403	False	subst	niedźwiedź szary
34405	False	subst	szambelan papieski
34409	False	subst	system tonalny
34410	False	subst	system przedstawicielski
34411	False	subst	pozycyjny system liczbowy
34412	False	subst	system powierniczy
34413	False	subst	system instancyjny
34414	False	subst	system aksjomatyczny
34415	False	subst	katalog systematyczny
34418	False	subst	synchrotron protonowy
34420	False	subst	sygnał cyfrowy
34429	False	subst	machina oblężnicza
34436	False	subst	wieża oblężnicza
34441	False	subst	element konstrukcyjny
34448	False	subst	desktop publishing
34453	False	subst	diabeł tasmański
34457	False	subst	differentia specifica
34458	False	subst	styl retoryczny
34459	False	subst	styl przerzutowy
34468	False	subst	strzyżyk woleoczko
34469	False	subst	strzygonia choinówka
34470	False	subst	sówka choinówka
34473	False	subst	struś australijski
34477	False	subst	energia świetlna
34479	False	subst	strumień świetlny
34486	False	subst	dłużnik solidarny
34489	False	subst	dobór płciowy
34490	False	subst	dobór sztuczny
34491	False	subst	strój hiszpański
34492	False	subst	strój bobrowy
34495	False	subst	stożek ścięty
34498	False	subst	stop drukarski
34501	False	subst	stopień geotermiczny
34504	False	subst	dog niemiecki
34511	False	subst	stereotyp dynamiczny
34519	False	subst	statek kołowy
34522	False	subst	statek kablowy
34533	False	subst	suchy dok
34534	False	subst	dok pływający
34535	False	subst	silnik dolnozaworowy
34538	False	subst	płaszcz dolny
34541	False	subst	jądro Ziemi
34543	False	subst	domek fiński
34551	False	subst	dorsz bałtycki
34552	False	subst	dowód ontologiczny
34554	False	subst	dowód nie wprost
34555	False	subst	dowód pośredni
34556	False	subst	dowód apagogiczny
34565	False	subst	dramat muzyczny
34566	False	subst	dramat romantyczny
34569	False	subst	drapacz lekarski
34571	False	subst	drążek kierowniczy
34572	False	subst	drążek skrętny
34581	False	subst	druk płaski
34582	False	subst	druk offsetowy
34583	False	subst	druk wklęsły
34585	False	subst	druk wypukły
34586	False	subst	drzewostan nasienny
34590	False	subst	starosta grodowy
34592	False	subst	stan spastyczny
34596	False	subst	stan czynny
34609	False	subst	socjalizm naukowy
34621	False	subst	kwiat siarczany
34623	False	subst	słowik szary
34625	False	subst	słodyszek rzepakowy
34631	False	subst	skrót perspektywiczny
34632	False	subst	wyraz skrajny
34634	False	subst	skowronek borowy
34635	False	subst	skorupik jabłoniowy
34637	False	subst	skłon kontynentalny
34639	False	subst	skład konsygnacyjny
34640	False	subst	magazyn konsygnacyjny
34641	False	subst	skład drukarski
34645	False	subst	kwiat żeński
34647	False	subst	kwiat słupkowy
34648	False	subst	silnik widlasty
34649	False	subst	silnik wiatrowy
34651	False	subst	silnik turbośmigłowy
34652	False	subst	silnik turboodrzutowy
34653	False	subst	kwiat męski
34654	False	subst	silnik pulsacyjny
34655	False	subst	silnik pneumatyczny
34657	False	subst	silnik niskoprężny
34660	False	subst	silnik indukcyjny
34662	False	subst	silnik gwiazdowy
34664	False	subst	silnik górnozaworowy
34665	False	subst	silnik gazowy
34666	False	subst	silnik bocznikowy
34667	False	subst	silnik asynchroniczny
34671	False	subst	siew czysty
34674	False	subst	las galeriowy
34679	False	subst	koń lejcowy
34680	False	subst	lej depresyjny
34681	False	subst	lelek kozodój
34683	False	subst	uchatka kalifornijska
34685	False	subst	liczebnik nieokreślony
34686	False	subst	liczebnik porządkowy
34687	False	subst	liczebnik zbiorowy
34688	False	subst	krzew kokainowy
34689	False	subst	krasnodrzew pospolity
34701	False	subst	kur rogacz
34702	False	subst	kwadrat logiczny
34705	False	subst	kwadrat magiczny
34707	False	subst	dur rzekomy
34710	False	subst	dur osutkowy
34712	False	subst	tyfus osutkowy
34721	False	subst	dymorfizm płciowy
34727	False	subst	dystych elegijny
34729	False	subst	siad skrzyżny
34771	False	subst	dziewięćsił bezłodygowy
34772	False	subst	dzięgiel lekarski
34774	False	subst	dzięgiel leśny
34779	False	subst	egzemplarz sygnalny
34783	False	subst	ekran luminescencyjny
34790	False	subst	ekran wodny
34791	False	subst	element grzejny
34792	False	subst	element toczny
34797	False	subst	empiryzm genetyczny
34798	False	subst	empiryzm metodologiczny
34805	False	subst	enzym restrykcyjny
34806	False	subst	teatr epicki
34821	False	subst	siad kuczny
34822	False	subst	siad płaski
34838	False	subst	sen letni
34843	False	subst	sejm konwokacyjny
34846	False	subst	sejmik relacyjny
34847	False	subst	sejmik generalny
34849	False	subst	sąd szczegółowy
34850	False	subst	sąd skorupkowy
34853	False	subst	sąd ogólny
34855	False	subst	sąd kapturowy
34859	False	subst	sąd apodyktyczny
34861	False	subst	satelita meteorologiczny
34862	False	subst	uśmiech sardoniczny
34868	False	subst	samolot pościgowy
34872	False	subst	ciężki bombowiec
34877	False	subst	system rzeczowy
34878	False	subst	rzeczownik żywotny
34879	False	subst	rzeczownik zbiorowy
34880	False	subst	rzeczownik pospolity
34887	False	subst	rym wewnętrzny
34889	False	subst	rym męski
34890	False	subst	rym gramatyczny
34892	False	subst	rybik cukrowy
34893	False	subst	lilia złotogłów
34897	False	subst	list kaperski
34898	False	subst	list komisyjny
34899	False	subst	list kredytowy
34903	False	subst	lnicznik siewny
34904	False	subst	lnianka siewna
34908	False	subst	logarytm dziesiętny
34909	False	subst	logarytm naturalny
34910	False	subst	lord major
34912	False	subst	lot balistyczny
34914	False	subst	lot nurkowy
34915	False	subst	lot szybowcowy
34916	False	subst	lot ślizgowy
34917	False	subst	suchy lód
34921	False	subst	łabędź niemy
34923	False	subst	łuk oporowy
34924	False	subst	łupek ilasty
34925	False	subst	łupek palny
34927	False	subst	magnetyzm ziemski
34929	False	subst	rybia łuska
34935	False	subst	ruch względny
34937	False	subst	ruch krzywoliniowy
34943	False	subst	rów tektoniczny
34944	False	subst	rów oceaniczny
34945	False	subst	etat rębny
34946	False	subst	róg mgłowy
34948	False	subst	krótki róg
34949	False	subst	długi róg
34952	False	subst	fakt prawny
34953	False	subst	rozwój wsteczny
34959	False	subst	rozwój rodowy
34967	False	subst	rozwój psychiczny
34969	False	subst	rozwój osobniczy
34973	False	subst	kryształ fałszywy
34975	False	subst	roztwór stały
34977	False	subst	roztwór fizjologiczny
34978	False	subst	roztwór buforowy
34979	False	subst	rozpad promieniotwórczy
34984	False	subst	spójnik rozłączny
34996	False	subst	łuk romański
35000	False	subst	manipulator kulkowy
35003	False	subst	rok zwrotnikowy
35009	False	subst	rok gwiazdowy
35011	False	subst	film odwracalny
35013	False	subst	film kolorowy
35015	False	subst	filtr akustyczny
35023	False	subst	filtr fotograficzny
35027	False	subst	resor piórowy
35030	False	subst	renkloda ulena
35034	False	subst	fiołek alpejski
35051	False	subst	realizm krytyczny
35052	False	subst	rdest ptasi
35058	False	subst	rachunek różniczkowy
35059	False	subst	analiza matematyczna
35064	False	subst	rachunek operatorowy
35070	False	subst	rachunek całkowy
35071	False	subst	pył wulkaniczny
35073	False	subst	pył dymnicowy
35078	False	subst	koń fryzyjski
35086	False	subst	materializm dialektyczny
35088	False	subst	materializm historyczny
35092	False	subst	gambit hetmański
35097	False	subst	gaz błotny
35098	False	subst	gaz elektronowy
35099	False	subst	gaz generatorowy
