korzeń powietrzny


związek cykliczny


związek pierścieniowy


kościół halowy


cykl astronomiczny


cykl księżycowy


cykl słoneczny


typ orientalny


tynk szlachetny


tygrys szablastozębny


twardzioszek przydrożny


tunel hydrotechniczny


tunel chłodniczy


tunel aerodynamiczny


trzon tłokowy


maszyna tłokowa


trójkąt pitagorejski


trójkąt nawigacyjny


trociniarka czerwica


trądzik różowaty


transport pneumatyczny


kozioł skalny


kozioróg dębosz


koźlarz babka


akcent finalny


akcent oksytoniczny


adres wydawniczy


adres bibliograficzny


cykoria podróżnik


drąg tłokowy


homo sapiens neanderthalensis


koźlarz czerwony


krążek linowy


blok linowy


kredyt budżetowy


kredyt państwowy


kredyt rewolwingowy


krętek blady


krokodyl nilowy


czasownik posiłkowy


czas fizyczny


czas geologiczny


czas gwiazdowy


czas słoneczny


czas strefowy


czas miejscowy


czas zaprzeszły


jądro atomowe


elektron dodatni


czworościan foremny


wspólny czynnik


wyrażenie algebraiczne


dach czterospadowy


dalmierz laserowy


darwinizm społeczny


teoria ewolucji


dąb czerwony


depozyt sądowy


żywy kamień


toczeń rumieniowaty


tłumacz kabinowy


tłuk pięściowy


tlenek kwasowy


bezwodnik kwasowy


testament ustny


tenor liryczny


tenor dramatyczny


tenor bohaterski


temat podstawowy


telegraf maszynowy


tantniś krzyżowiaczek


taniec charakterystyczny


podział metryczny


takt trójdzielny


świerk srebrzysty


ślepy pułap


ślepy kosztorys


ślad torowy


ślad pamięciowy


szyk przestawny


sztuczny księżyc


szpat islandzki


sznur pępkowy


sznaucer olbrzym


szlif wypukły


szlif kaboszonowy


koral szlachetny


seter szkocki


gordon seter


sześciokąt foremny


szereg homologiczny


szereg harmoniczny


szereg geometryczny


szczwół plamisty


szczur piżmowy


narząd szczątkowy


niedźwiedź szary


szambelan papieski


system tonalny


system przedstawicielski


pozycyjny system liczbowy


system powierniczy


system instancyjny


system aksjomatyczny


katalog systematyczny


synchrotron protonowy


sygnał cyfrowy


machina oblężnicza


wieża oblężnicza


element konstrukcyjny


desktop publishing


diabeł tasmański


differentia specifica


styl retoryczny


styl przerzutowy


